Dataset_Model,Accuracy,Precision_PASS,Recall_PASS,F1_PASS,Precision_FAIL,Recall_FAIL,F1_FAIL,Macro_Precision,Macro_Recall,Macro_F1,Comments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HaluEval_LLM,85%,80%,93%,86%,92%,77%,84%,86%,85%,85%,need to run this through prediction model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HaluEval_Bedrock,81%,74%,96%,83%,94%,66%,77%,84%,81%,80%,need to run this through prediction model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HaluBench_LLM,83%,91%,77%,83%,74%,90%,82%,83%,84%,83%,test set,,,,,,,,,,,,,,,,,,,,,,,,,,,,Epoch,Training Loss,Validation Loss,Accuracy,Precision,Recall,F1
HaluBench_Bedrock,59%,70%,49%,58%,51%,72%,60%,61%,60%,59%,test set,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.3765,0.453141,0.763552,0.739018,0.889119,0.80715
Challenger_LLM,79%,70%,100%,83%,100%,58%,73%,85%,79%,78%,need to run this through prediction model,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2796,0.44931,0.768743,0.770115,0.833161,0.800398
Challenger_Bedrock,81%,73%,99%,84%,98%,63%,77%,86%,81%,80%,need to run this through prediction model,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0.2483,0.51971,0.782584,0.782692,0.843523,0.81197
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HaluEval_Crossencoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HaluBench_Crossencoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Challenger_Crossencoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comput combined sample,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Include as table?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dataset_Model,Accuracy,Precision_PASS,Recall_PASS,F1_PASS,Precision_FAIL,Recall_FAIL,F1_FAIL,Macro_Precision,Macro_Recall,Macro_F1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HaluEval_LLM,85%,80%,93%,86%,92%,77%,84%,86%,85%,85%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HaluEval_Bedrock,81%,74%,96%,83%,94%,66%,77%,84%,81%,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HaluBench_LLM,83%,91%,77%,83%,74%,90%,82%,83%,84%,83%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HaluBench_Bedrock,59%,70%,49%,58%,51%,72%,60%,61%,60%,59%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Challenger_LLM,79%,70%,100%,83%,100%,58%,73%,85%,79%,78%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Challenger_Bedrock,81%,73%,99%,84%,98%,63%,77%,86%,81%,80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Without HaluEval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
