Main results,,,,,,,,,,
Dataset,Accuracy,Precision_PASS,Recall_PASS,F1_PASS,Precision_FAIL,Recall_FAIL,F1_FAIL,Macro_Precision,Macro_Recall,Macro_F1
HaluBench - Cross-encoder,,,,,,,,,,
HaluBench - LLM,82.6%,91.5%,76.8%,83.5%,74.3%,90.4%,81.5%,82.9%,83.6%,82.5%
HaluBench - Bedrock,58.6%,70.1%,48.8%,57.5%,51.0%,71.9%,59.7%,60.5%,60.3%,58.6%
,,,,,,,,,,
RetailbankQA - Cross-encoder,,,,,,,,,,
RetailbankQA - LLM,79.0%,70.4%,100.0%,82.6%,100.0%,57.9%,73.4%,85.2%,79.0%,78.0%
RetailbankQA - Bedrock,80.9%,72.7%,99.0%,83.8%,98.4%,62.9%,76.7%,85.5%,80.9%,80.3%
,,,,,,,,,,
,,,,,,,,,,
By Datasource,,,,,,,,,,
